Date,Holiday,Business_Day,Precio_Oil,Precio_bolsa,Precio_escasez,Demanda_real,Capacidad_embalse,Irradiacion,Temperatura,Month_sin,Month_cos,Day_sin,Day_cos
2022-11-21,0.0,1.0,0.24124252102066168,0.011279297176824375,0.6889585225962951,0.8590746611793132,0.705939061632936,0.37232212143629906,0.36548200140241366,0.24999999999999978,0.9330127018922192,0.05052082691921883,0.27795062329771136
2022-11-22,0.0,1.0,0.26229504311825935,0.029020542789092885,0.6889585225962951,0.879486143555678,0.705939061632936,0.3242430705705649,0.35080753034245177,0.24999999999999978,0.9330127018922192,0.015339382139400726,0.3730654346159251
2022-11-23,0.0,1.0,0.2103538064427113,0.03255713051584869,0.6889585225962951,0.8756901116683564,0.705939061632936,0.31839734293538513,0.31127707202459226,0.24999999999999978,0.9330127018922192,0.0,0.4733243142702276
2022-11-24,0.0,1.0,0.2103538064427113,0.03735666034732034,0.6889585225962951,0.8680546412838916,0.705939061632936,0.33794655969645016,0.2871733880306621,0.24999999999999978,0.9330127018922192,0.005130676608104845,0.5746226519476535
2022-11-25,0.0,1.0,0.18170835778821015,0.05190431595628599,0.6889585225962951,0.8783801906727462,0.705939061632936,0.27135357959530215,0.2744947837255221,0.24999999999999978,0.9330127018922192,0.03052136146055051,0.6728132818016387
2022-11-26,0.0,0.0,0.18170835778821015,0.06407207873434051,0.6889585225962951,0.8328206799619853,0.705939061632936,0.3201947227897721,0.27812646603895635,0.24999999999999978,0.9330127018922192,0.07513255693619891,0.7638762679090525
2022-11-27,0.0,0.0,0.18170835778821015,0.0650803772326594,0.6889585225962951,0.7206106611433757,0.705939061632936,0.0,0.17834827365381772,0.24999999999999978,0.9330127018922192,0.1371378754506844,0.8440834809192108
2022-11-28,0.0,1.0,0.19827434803890975,0.07455709914591499,0.6889585225962951,0.8379594966478487,0.705939061632936,0.14009230683857807,0.2230101669816315,0.24999999999999978,0.9330127018922192,0.21399881197870807,0.9101512281075304
2022-11-29,0.0,1.0,0.21484033828960936,0.07960103964042316,0.6889585225962951,0.8436511417302981,0.705939061632936,0.16277541830503775,0.23283503171698444,0.24999999999999978,0.9330127018922192,0.3025686707480362,0.9593746881414906
2022-11-30,0.0,1.0,0.2553926459215585,0.09003371743744656,0.6889585225962951,0.8486794467881296,0.705939061632936,0.27184783433859494,0.23244399396192955,0.24999999999999978,0.9330127018922192,0.3992213913341355,0.9897386467837903
2022-12-01,0.0,1.0,0.26695430604629866,0.09614833648073068,0.7045975200234564,0.8405053197771095,0.9693212556333481,0.30721324596366895,0.3074568788839895,0.4999999999999999,1.0,0.6007786086658639,0.9897386467837903
2022-12-02,0.0,1.0,0.24555658509599332,0.10004267442428408,0.7045975200234564,0.8476243149801814,0.9693212556333481,0.4136381783109153,0.3358168955955994,0.4999999999999999,1.0,0.6974313292519636,0.9593746881414906
2022-12-03,0.0,0.0,0.24555658509599332,0.10080744273640047,0.7045975200234564,0.8015045040278617,0.9693212556333481,0.33111520444780196,0.3225872237052852,0.4999999999999999,1.0,0.7860011880212918,0.9101512281075304
2022-12-04,0.0,0.0,0.24555658509599332,0.06748044892870941,0.7045975200234564,0.7216966138585118,0.9693212556333481,0.26330881539449635,0.3054941439310443,0.4999999999999999,1.0,0.8628621245493154,0.8440834809192109
2022-12-05,0.0,1.0,0.19292495071503035,0.08499349851746145,0.7045975200234564,0.8410502909152391,0.9693212556333481,0.35752531511552355,0.3377193551605466,0.4999999999999999,1.0,0.9248674430638009,0.7638762679090525
2022-12-06,0.0,1.0,0.14667817856128162,0.0661739253005839,0.7045975200234564,0.8530155147027252,0.9693212556333481,0.2900013987652319,0.3315536343284979,0.4999999999999999,1.0,0.9694786385394494,0.6728132818016387
2022-12-07,0.0,1.0,0.10802420130964907,0.06673315704181204,0.7045975200234564,0.8353846418182314,0.9693212556333481,0.3199008705865367,0.32683675610086144,0.4999999999999999,1.0,0.994869323391895,0.5746226519476535
